id,nombre,descripcion,created_at
"bd13845c-e40c-51f8-72eb-8eeed0a7b8ec","Goods",,"2026-01-21 04:36:13.451931+00"
"12014fc5-153b-447b-49cd-ab343681796b","Expenses",,"2026-01-21 04:36:13.451931+00"
"cfe186aa-4af2-d87d-7940-e386a48645f9","SERVICIO",,"2026-01-21 04:36:13.451931+00"
"8fed46a5-9e15-daf1-7510-bcd0bc77475e","Deliveries",,"2026-01-21 04:56:03.094601+00"
"b577f741-6dc3-ad46-4c8e-96b7d367a41f","Vehicle",,"2026-01-25 16:18:05.674627+00"
"9c7ba89b-d5a4-2782-e7fb-3620a84bead0","ACEITE",,"2026-02-24 23:36:57.799333+00"
"63ff2b99-5c18-92f1-831e-0e6d4ad23649","ADICIONAL/ACEITE",,"2026-03-03 20:35:34.416002+00"
"0ac6f676-c19e-fae5-a9d2-1db7bb332248","ADITIVO/AIRE ACONDICIONADO",,"2026-03-03 20:44:14.740091+00"
"c0b573a7-0572-4101-4db4-e77bf51ff3a1","ADITIVO",,"2026-03-03 20:44:43.087613+00"
"3b31c6d9-ee1a-0fb5-d421-45926fef0cb4","ADITIVO/DIESEL",,"2026-03-03 20:44:49.417386+00"
"7c2a3efa-b5dc-7c87-521a-8e1bf55dd349","ADITIVO/GASOLINA",,"2026-03-03 20:45:35.492313+00"
"c4d4f20b-7175-205f-b86b-5b218b7d92b0","SERVICIO / AIRE ACONDICIONADO",,"2026-03-03 21:27:35.904897+00"
"49275df1-a9b1-d236-f870-37059209e03e","ADICIONAL/GRATUITO",,"2026-03-03 21:28:33.849571+00"
"6e62f3de-ad8a-a4df-2c7c-3c246fc05926","ADICIONAL/MANTENIMIENTO",,"2026-03-03 21:28:44.546337+00"
"f0b98ffb-d426-ffa5-75c9-ec11ffff1775","COMISION/GASOLINA",,"2026-03-03 21:40:04.970756+00"
"301c9c62-d371-4245-8dbf-0f7f24f9419b","COMISION/DIESEL",,"2026-03-03 21:40:13.546244+00"
"fa66b650-5f6c-1580-92d9-8934ddd3c592","ADICIONAL/PINTADO",,"2026-03-03 21:40:37.574+00"
"1bcf1ff6-80d3-e379-cf62-2f810fb95431","ADICIONAL/ADITIVO",,"2026-03-04 17:32:53.553402+00"
"0c1eb228-6cec-c7dc-4861-0c3b600f344b","ADITIVO/ATF",,"2026-03-04 22:47:19.490798+00"
"46791dc9-9aff-b67f-cf9d-dd557a03e218","ACEITE/ATF",,"2026-03-04 23:03:10.758056+00"
"3714a491-3e53-8044-e405-c279419ae824","ADICIONAL/ATF",,"2026-03-04 23:36:36.240428+00"
"73d462ce-2b3e-bd87-49d5-0db883ef7d47","ACEITE/SAE/GL4/GL5/MTF",,"2026-03-05 00:04:14.521103+00"
"9842ead5-bcf2-66d2-62ef-120948efcd43","ACEITE/SAE/GL5",,"2026-03-05 15:32:36.312803+00"
"54a51ba0-1a25-4794-d2c4-a11c6e807673","ACEITE/LS SAE/GL5",,"2026-03-05 15:54:43.138372+00"
"98faf5c9-c332-c5aa-ad82-ddff07219332","ACEITE/MTF/TOPTEC",,"2026-03-05 17:46:51.764915+00"
"13786503-b6ca-66b4-2be6-72a4cd65c115","ACEITE/SAE/GL4",,"2026-03-05 20:43:57.208801+00"
"c3b39be1-2ccb-cebc-9f41-e124bc4ca144","ACEITE/DOBLE EMBRAGUE",,"2026-03-05 20:50:27.66048+00"
"908abf2c-2e9e-682b-3fe4-1a804fb2fe77","ADITIVO/REFRIGERANTE",,"2026-03-06 00:04:37.442087+00"
